通用名,ATC代码,ATC分类名称,DDD值,DDD单位
替硝唑氯化钠注射液,J01XD02,硝基咪唑类,2,g
注射用头孢曲松钠,J01DD04,第三代头孢,2,g
注射用头孢曲松钠/氯化钠注射液,J01DD04,第三代头孢,2,g
注射用青霉素钠,J01CE01,青霉素类窄谱,3.6,g
注射用美罗培南,J01DH02,碳青霉烯类,2,g
注射用亚胺培南西司他丁钠,J01DH51,碳青霉烯类,2,g
注射用比阿培南,J01DH05,碳青霉烯类,1.2,g
注射用头孢他啶,J01DD02,第三代头孢,4,g
注射用头孢呋辛钠,J01DC02,第二代头孢,3,g
注射用头孢哌酮钠舒巴坦钠,J01DD62,第三代头孢加酶抑制剂,4,g
注射用头孢唑林钠,J01DB04,第一代头孢,3,g
注射用头孢唑肟钠,J01DD07,第三代头孢,2,g
注射用头孢噻肟钠,J01DD01,第三代头孢,2,g
注射用头孢拉定,J01DB02,第一代头孢,2,g
注射用头孢美唑钠,J01DC03,头霉素类,4,g
注射用盐酸头孢替安,J01DC13,第二代头孢,4,g
注射用替加环素,J01AA05,甘氨酰环类,0.1,g
注射用替考拉宁,J01XA02,糖肽类,0.4,g
注射用盐酸万古霉素,J01XA01,糖肽类,2,g
注射用盐酸多西环素,J01AA02,四环素类,0.1,g
注射用硫酸多黏菌素B,J01XB02,多粘菌素类,0.15,g
注射用磷霉素钠,J01XX01,其他抗菌药,8,g
注射用苄星青霉素,J01CE08,青霉素类窄谱,2.7,g
注射用苯唑西林钠,J01CF04,青霉素类耐酶,2,g
注射用哌拉西林钠,J01CA12,青霉素类广谱,14,g
注射用哌拉西林钠他唑巴坦,J01CR05,青霉素加酶抑制剂,14,g
注射用阿莫西林钠克拉维酸钾,J01CR02,青霉素加酶抑制剂,1.5,g
注射用阿奇霉素,J01FA10,大环内酯类,0.5,g
注射用醋酸卡泊芬净,J02AX04,棘白菌素类抗真菌药,0.05,g
注射用米卡芬净钠,J02AX05,棘白菌素类抗真菌药,0.1,g
注射用两性霉素B,J02AA01,多烯类抗真菌药,0.035,g
注射用两性霉素B胆固醇硫酸酯复,J02AA01,多烯类抗真菌药,0.035,g
注射用伏立康唑,J02AC03,三唑类抗真菌药,0.4,g
注射用磷酸左奥硝唑酯二钠,J01XD03,硝基咪唑类,1.5,g
乳酸环丙沙星氯化钠注射液,J01MA02,喹诺酮类,1,g
盐酸莫西沙星氯化钠注射液,J01MA14,喹诺酮类,0.4,g
盐酸莫西沙星片,J01MA14,喹诺酮类,0.4,g
左氧氟沙星氯化钠注射液,J01MA12,喹诺酮类,0.5,g
左氧氟沙星氯化钠注射,J01MA12,喹诺酮类,0.5,g
硫酸依替米星注射液,J01GB,氨基糖苷类,0.2,g
硫酸妥布霉素注射液,J01GB04,氨基糖苷类,0.24,g
硫酸阿米卡星注射液,J01GB06,氨基糖苷类,1,g
克林霉素磷酸酯注射液,J01FF01,林可酰胺类,1.8,g
甲硝唑氯化钠注射液,J01XD01,硝基咪唑类,1.5,g
甲硝唑片,J01XD01,硝基咪唑类,1.5,g
奥硝唑注射液,J01XD03,硝基咪唑类,1.5,g
左奥硝唑氯化钠注射液,J01XD03,硝基咪唑类,1.5,g
氟康唑氯化钠注射液,J02AC01,三唑类抗真菌药,0.2,g
氟康唑片,J02AC01,三唑类抗真菌药,0.2,g
伊曲康唑胶囊,J02AC02,三唑类抗真菌药,0.2,g
伏立康唑片,J02AC03,三唑类抗真菌药,0.4,g
利奈唑胺片,J01XX08,恶唑烷酮类,1.2,g
利奈唑胺葡萄糖注射液,J01XX08,恶唑烷酮类,1.2,g
头孢克洛缓释片,J01DC04,第二代头孢,1.5,g
头孢克肟颗粒,J01DD08,第三代头孢,0.4,g
头孢泊肟酯分散片,J01DD09,第三代头孢,0.4,g
头孢泊肟酯干混悬剂,J01DD09,第三代头孢,0.4,g
克拉霉素片,J01FA09,大环内酯类,0.5,g
阿奇霉素干混悬剂,J01FA10,大环内酯类,0.5,g
阿奇霉素片,J01FA10,大环内酯类,0.5,g
阿莫西林克拉维酸钾片,J01CR02,青霉素加酶抑制剂,1.5,g
阿莫西林克拉维酸钾颗粒,J01CR02,青霉素加酶抑制剂,1.5,g
磷霉素氨丁三醇散,J01XX01,其他抗菌药,8,g
